uid,ciqual_code,name,name_core,name_tags,main_group,sub_group,sub_sub_group,kcal_sanitized,kcal_calc_ml,energy_flag_ml,protein_g_100g_ml,carbohydrate_g_100g_ml,fat_g_100g_ml,sugars_g_100g_ml,fibres_g_100g_ml,salt_g_100g_ml,alcohol_g_100g_ml,water_g_100g_ml,macro_tags
miso-soup-dehydrated-reconstituted_25972,25972,"Miso soup, dehydrated, reconstituted","Miso soup, dehydrated, reconstituted",,starters and dishes,soups,,17.1,16.9,0,1.38,2.18,0.3,0.69,0.3,1.1,0,94.6,protein_low;carb_low;fat_low
caen-style-tripe_8601,8601,Caen-style tripe,Caen-style tripe,style:caen,starters and dishes,dishes,"meat dishes, no garnish",116,115.9,0,20.4,0.3,3.68,,0,1.06,0,74,protein_high;carb_low
caen-style-tripe-prepacked_8602,8602,"Caen-style tripe, prepacked",Caen-style tripe,style:caen;prepacked,starters and dishes,dishes,"meat dishes, no garnish",112,109,0,18.4,0.7,3.62,0.5,1.25,1.03,0,77.9,protein_high;carb_low
provencal-type-tripe-with-tomato_8612,8612,Provencal-type tripe (with tomato),Provencal-type tripe,with_tomato,starters and dishes,dishes,"meat dishes, no garnish",94.1,94,0,15.7,0.6,3.2,0.2,0,1.23,0,76.6,protein_high;carb_low
veal-stew-in-white-sauce_25001,25001,Veal stew in white sauce,Veal stew in white sauce,,starters and dishes,dishes,"meat dishes, no garnish",113,110,0,15.4,3.1,4,0.3,0.8,0.74,0,75.1,protein_high;carb_low
burgundy-style-beef-stew_25033,25033,Burgundy-style beef stew,Burgundy-style beef stew,style:burgundy,starters and dishes,dishes,"meat dishes, no garnish",84.6,82.1,0,8.93,4.17,3.3,1.57,1.25,0.88,0,78.4,protein_moderate;carb_low
saute-of-lamb-w-curry-prepacked_25035,25035,"Sauté of lamb w curry, prepacked",Sauté of lamb w curry,prepacked,starters and dishes,dishes,"meat dishes, no garnish",167.1,,0,10.5,,13.9,,1,1.29,0,73.5,protein_high;fat_high
duck-with-sauce-green-pepper-sauce-hunter-style-sauce-etc-prepacked_25058,25058,"Duck with sauce (green pepper sauce, hunter-style sauce,etc.) , prepacked",Duck with sauce,style:hunter;with_sauce;green_pepper_sauce;hunter_style_sauce;etc;prepacked,starters and dishes,dishes,"meat dishes, no garnish",145,144.7,0,9.55,10.2,7.3,,,,0,,protein_moderate;carb_moderate;fat_moderate
rabbit-with-mustard-sauce-prepacked_25063,25063,"Rabbit with mustard sauce, prepacked",Rabbit with mustard sauce,with_mustard_sauce;prepacked,starters and dishes,dishes,"meat dishes, no garnish",108,106.6,0,14.9,0.5,5,0.5,0.8,1.2,0,,protein_high;carb_low;fat_moderate
cockerel-in-red-wine-sauce_25121,25121,Cockerel in red wine sauce,Cockerel in red wine sauce,,starters and dishes,dishes,"meat dishes, no garnish",133,131,0,13,4,7,1,0.9,1.05,0,,protein_high;carb_low;fat_moderate
veal-olive-or-veal-paupiette_25125,25125,Veal olive or veal paupiette,Veal olive or veal paupiette,,starters and dishes,dishes,"meat dishes, no garnish",193,192.6,0,14.5,2.6,13.8,0.41,0.2,1.26,0,64.1,protein_high;carb_low;fat_high
poultry-paupiette_25126,25126,Poultry paupiette,Poultry paupiette,,starters and dishes,dishes,"meat dishes, no garnish",164,161.4,0,23.9,8.8,3.4,,1.17,1.05,0,64.2,protein_high;carb_moderate
meat-in-sauce-average_25172,25172,Meat in sauce (average),Meat in sauce,note:average,starters and dishes,dishes,"meat dishes, no garnish",104,101.2,0,11.3,3.65,4.6,1.34,1.08,0.85,0,77.1,protein_high;carb_low
chicken-with-curry-and-coconut-milk-sauce_25174,25174,Chicken with curry and coconut milk sauce,Chicken with curry and coconut milk sauce,with_curry_and_coconut_milk_sauce,starters and dishes,dishes,"meat dishes, no garnish",124,117.1,0,10.6,3.15,6.9,1.49,1.1,1.07,0,75.2,protein_high;carb_low;fat_moderate
molokhia-jute-and-beef-based-meal-home-made_25175,25175,"Molokhia, jute and beef-based meal, home-made","Molokhia, jute and beef-based meal, home-made",,starters and dishes,dishes,"meat dishes, no garnish",189,179.5,0,10.6,1.2,14.7,1.2,4.7,0.93,0,67.7,protein_high;carb_low;fat_high
devilled-pork-shoulder-in-mustard-sauce-prepacked_25200,25200,"Devilled pork shoulder in mustard sauce, prepacked",Devilled pork shoulder in mustard sauce,prepacked,starters and dishes,dishes,"meat dishes, no garnish",120,117,0,13.5,2.08,6.07,1.38,1.45,2.25,0,,protein_high;carb_low;fat_moderate
beef-tongue-with-madeira-wine-sauce-prepacked_25201,25201,"Beef tongue with Madeira wine sauce, prepacked",Beef tongue with Madeira wine sauce,with_madeira_wine_sauce;prepacked,starters and dishes,dishes,"meat dishes, no garnish",180,177.5,0,9.5,4.5,13.5,2.5,1,1.08,0,,protein_moderate;carb_low;fat_high
pork-with-caramel-sauce-prepacked_25207,25207,"Pork with caramel sauce, prepacked",Pork with caramel sauce,with_caramel_sauce;prepacked,starters and dishes,dishes,"meat dishes, no garnish",136,134.2,0,10,11.4,5.4,7.9,0.7,1.34,0,70.7,protein_high;carb_moderate;fat_moderate
meat-balls-beef-with-tomato-sauce-prepacked_25211,25211,"Meat balls, beef, with tomato sauce, prepacked","Meat balls, beef",with_tomato_sauce;prepacked,starters and dishes,dishes,"meat dishes, no garnish",117,116.5,0,9,5.5,6.5,,,,0,,protein_moderate;carb_moderate;fat_moderate
veal-paupiette-prepacked-cooked-in-oven_25213,25213,"Veal paupiette, prepacked, cooked in oven","Veal paupiette, prepacked, cooked in oven",prepacked,starters and dishes,dishes,"meat dishes, no garnish",276,274.4,0,22,0.48,20.5,0.3,0.9,1.07,0,54.8,protein_high;carb_low;fat_high
beef-carpaccio-w-marinade_25538,25538,"Beef carpaccio, w marinade","Beef carpaccio, w marinade",,starters and dishes,dishes,"meat dishes, no garnish",271,270,0,15.2,0.55,23,0.5,0.36,1.12,0,57,protein_high;carb_low;fat_high
yakitori-grilled-meat-on-skewers-japanese-style-with-sauce_25565,25565,"Yakitori (grilled meat on skewers, Japanese-style, with sauce)",Yakitori,style:japanese;with_sauce;grilled_meat_on_skewers;japanese_style,starters and dishes,dishes,"meat dishes, no garnish",172,170.9,0,26,9.3,3.3,6.6,0.6,1.19,0,58.8,protein_high;carb_moderate
beef-on-skewer-with-vegetables-onion-sweet-pepper-cooked_25585,25585,"Beef on skewer, with vegetables (onion, sweet pepper…), cooked","Beef on skewer, cooked",with_vegetables;onion;sweet_pepper,starters and dishes,dishes,"meat dishes, no garnish",139,135.7,0,21.9,0.33,5.2,,2.8,0.86,0,69.2,protein_high;carb_low;fat_moderate
poultry-on-skewer-with-vegetables-onion-sweet-pepper-cooked_25586,25586,"Poultry on skewer, with vegetables (onion, sweet pepper…), cooked","Poultry on skewer, cooked",with_vegetables;onion;sweet_pepper,starters and dishes,dishes,"meat dishes, no garnish",137,134,0,23.1,1.39,4,,2.8,0.75,0,68,protein_high;carb_low
shepherd-s-pie-or-cottage-pie-with-meat-prepacked_25009,25009,"Shepherd's pie or cottage pie with meat, prepacked",Shepherd's pie or cottage pie with meat,with_meat;prepacked,starters and dishes,dishes,"meat dishes, with starchy food",138,135.5,0,5.99,9.39,8.22,1.47,1.43,0.83,0,73.6,protein_moderate;carb_moderate;fat_moderate
couscous-w-mutton_25029,25029,Couscous w mutton,Couscous w mutton,,starters and dishes,dishes,"meat dishes, with starchy food",149,146.8,0,8.31,12.2,7.2,1.38,1.3,0.81,0,68.9,protein_moderate;carb_moderate;fat_moderate
